Item,Description,Labor In Minutes,,
KT.00303.017,,,,
KT.00305.004,,,,
AC15A3J,,,,
REPAIR-ACER-CB-C738T-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-CB-C738T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB-C738T-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-CB-C738T-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB-C738T-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C738T-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB-C738T-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB-C738T-LED-BOARD,LED Board Repair,15,,
55.G55N7.001,,,,
REPAIR-ACER-C731T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C731T,,,
ACER-C731T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-C731T-TOUCHSCREEN,Touchscreen Repair,15,,
B116XAK01.0-HW:1A/FW:1,,,,
REPAIR-ACER-C731T-CAM,Webcam Repair,15,,
KS.0HD0Q.002  ,,,,
REPAIR-ACER-C731T-LVDS,LVDS Cable Repair,30,,
50.GM9N7.005,,,,
REPAIR-ACER-C731T-TOPCOVER,Topcover Repair,30,,
60.GM9N7.001,,,,
REPAIR-ACER-C731T-BEZEL,Bezel Repair,15,,
60.GM9N7.002,,,,
REPAIR-ACER-C731T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C731T-HINGE-L,Left Hinge Repair,30,,
33.GM9N7.002,,,,
REPAIR-ACER-C731T-HINGE-R,Right Hinge Repair,30,,
33.GM9N7.001,,,,
ACER-C731T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-C731T-BATTERY,Battery Repair,30,,
KT.0030G.015,,,,
REPAIR-ACER-C731T-DCJACK,DC Jack Repair,15,,
50.GM9N7.002,,,,
REPAIR-ACER-C731T-TRACKPAD,Trackpad Repair,15,,
56.GM9N7.001,,,,
REPAIR-ACER-C731T-USB-BOARD,I/O Board Repair,15,,
55.GM9N7.001,,,,
REPAIR-ACER-C731T-BOTTOM-COVER,Bottom Cover Repair,15,,
60.GM9N7.003,,,,
REPAIR-ACER-C731T-PALMREST,Palmrest Repair,30,,
6B.GM9N7.017,,,,
REPAIR-ACER-C731T-SPEAKERS,Speaker Repair,15,,
23.GM9N7.001,,,,
REPAIR-ACER-C731T-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-C731T-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-C731T-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-C731T-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-C731T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C731T-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-C731T-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-C731-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C731,,,
ACER-C731-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-C731-LCD,LCD Repair,15,,
N116BCA-EA1-REVC.1-C731,,,,
AG-C731-LC00,,,,
REPAIR-ACER-C731-CAM,Webcam Repair,15,,
KS.0HD0Q.002  ,,,,
AG-C731-CM00,,,,
REPAIR-ACER-C731-LVDS,LVDS Cable Repair,30,,
50.GM9N7.005,,,,
REPAIR-ACER-C731-TOPCOVER,Topcover Repair,30,,
60.GM9N7.001,,,,
REPAIR-ACER-C731-BEZEL,Bezel Repair,15,,
60.GM9N7.002,,,,
REPAIR-ACER-C731-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C731-HINGE-L,Left Hinge Repair,30,,
33.GM9N7.002,,,,
REPAIR-ACER-C731-HINGE-R,Right Hinge Repair,30,,
33.GM9N7.001,,,,
ACER-C731-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-C731-BATTERY,Battery Repair,30,,
KT.0030G.015,,,,
REPAIR-ACER-C731-DCJACK,DC Jack Repair,15,,
50.GM9N7.002,,,,
REPAIR-ACER-C731-TRACKPAD,Trackpad Repair,15,,
56.GM9N7.001,,,,
