Item,Description,Labor In Minutes,,
REPAIR-LENOVO-500E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-500E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-500E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-500E-WIFI-CARD,Wifi Card Repair,30,,
SW10H24548,,,,
REPAIR-LENOVO-500E-SPEAKERS,Speaker Repair,30,,
5SB0Q79732,,,,
,,,,
REPAIR-LENOVO-11E-G1,Full Unit Repair for Lenovo 11E G1 ,,,
LENOVO-11E-G1-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-11-G1-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-11-G1-TOUCHSCREEN,Touchscreen Repair,30,,
00HW238,,,,
REPAIR-LENOVO-11-G1-TOPCOVER,Topcover Repair,45,,
00HW165,,,,
REPAIR-LENOVO-11E-G1-TOPCOVER-YOGA,Topcover Repar (Yoga),45,,
00HW167,,,,
REPAIR-LENOVO-11E-G1-HINGESET,Hinge Repair,45,,
00HW173,,,,
REPAIR-LENOVO-11E-G1-HINGESET-YOGA,Hinge Repair (Yoga),45,,
00HW174,,,,
REPAIR-LENOVO-11E-G1-BEZEL,Bezel Repair,15,,
00HW450,,,,
REPAIR-LENOVO-11E-LVDS-YOGA,LVDS Cable Repair (Yoga),45,,
00HW232,,,,
REPAIR-LENOVO-11E-LVDS,LVDS Cable Repair,45,,
00HT287,,,,
REPAIR-LENOVO-11E-SENSOR-CABLE,Sensor Cable Repair,30,,
00HW190,,,,
REPAIR-LENOVO-11E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-11E-G1-WIFI-ANTENNA,Wifi Cable Repair,45,,
00HW178,,,,
REPAIR-LENOVO-11E-CAMERA,Webcam Repair,30,,
00HN302,,,,
LENOVO-11E-G1-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-11E-G1-PALMREST,Palmrest Repair,45,,
00HW161,,,,
38LI5TALV10,,,,
REPAIR-LENOVO-11E-G1-BOTTOMCASE,Bottomcase Repair,60,,
00HW171,,,,
37LI5BALV00,,,,
REPAIR-LENOVO-11E-G1-BOTTOM-DOOR,Bottom Door Repair,15,,
00HW172,,,,
REPAIR-LENOVO-11E-G1-KEYBOARD,Keyboard Repair,30,,
04X6260,,,,
REPAIR-LENOVO-11E-G1-DC-JACK,DC Jack Repair,45,,
00HW186,,,,
REPAIR-LENOVO-11E-G1-BATTERY,Battery Repair,45,,
45N1749,,,,
REPAIR-LENOVO-11E-HDD-CABLE,HDD Cable Repair,30,,
00HW183,,,,
REPAIR-LENOVO-11E-SD-READER,SD Card Reader Repair,45,,
00HW181,,,,
REPAIR-LENOVO-11E-USB-BRACKET,USB Bracket Repair,30,,
01AY701,,,,
REPAIR-LENOVO-11E-G1-TRACKPAD-CABLE,Trackpad Cable Repair,30,,
LENOVO-11E-GEN1-TP-CABLE,,,,
REPAIR-LENOVO-11E-G1-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-11E-G1-MOTHERBOARD,Motherboard Repair,45,,
N/A,,,,
REPAIR-LENOVO-11E-G1-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-11E-G1-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-11E-G1-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-11E-G1-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-LENOVO-11E-G3,Full Unit Repair for Lenovo 11E G3,,,
LENOVO-11E-G3-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-11E-G3-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
